id,slug,name,description
256,first-follower,First Follower,"💬 It's the first follower that turns a “lone nut” into a leader - Derek Sivers

Without the first follower there is no movement. 

The best way to start a movement, is to follow and show others how to follow.

When you find a lone nut doing something great, have the guts to be the first person to join in. 

-----

🍿 TED Talk on How to start a movement (<3 min) https://youtu.be/fW8amMCVAJQ

It's the first follower that turns a “lone nut” into a leader. Without the first follower there is no movement. 

Be public. Be easy to follow!

The best way to make a movement, is to follow and show others how to follow.

When you find a lone nut doing something great, have the guts to be the first person to join in. 

🌐 Full transcript at https://sive.rs/ff"
257,morning-music,MORNING MUSIC,"💭 Begin each day with some of your favourite music

Studies show that what we hear within the first 20 minutes of waking up has a big effect on our mood for the rest of the day. 

Play your favourite music every morning.

---

also - what is wrong with people , wake up to an alarm, you dont want to wake up in stress ..."
258,be-graceful,Be Graceful,"💭 Be a graceful winner (and loser)

Be humble in both victory and defeat. 

In defeat, congratulate the winner. Let them have their celebration.

In victory, congratulate the losers on their good effort"
259,dead-persons-goals,Dead Person's Goals,"💭 Goals that a dead person can do better than a living person

“I want to stop procrastinating / drink less / care less about what other people think of me…” are dead person goals.

A corpse doesn’t procrastinate, drink, or care what others think. 

Bring goals to life by asking: “What is doing less of {X} making room for?” 

---

For example: “I want to care less about what other people think of me so that I can take more risks in my life and chase what I really want.”"
260,send-flowers,SEND FLOWERS,"💭 Send your loved one’s flowers. Think of a Reason Later.

You don’t need a reason to send your loved one’s flowers. 

It’s always a nice surprise.

You can substitute flowers for any other nice surprise."
261,make-it-matter,MAKE IT MATTER,"💭 Whatever you do, make it matter

There is a huge difference between doing things half heartedly and with full effort. 

Whatever it is, go all in. Make it matter.

Inspiration: The Most Successful Email Ever Written"
262,fish-dont-climb,Fish Don't Climb,"💬 If you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid - Einstein

While a bird, a monkey and a fish line up, an official says: 

""For a fair selection everybody has to take the same exam: please climb that tree.”

It’s foolish to judge everybody by the same metrics, ignoring individual strengths and weaknesses."
263,secret-sword,SECRET SWORD,"💭 Think twice before burdening a friend with a secret

Secrets are dangerous. 

When you tell a friend a secret, you’ve put them in an uncomfortable situation. 

Are they really better off knowing the secret than not knowing it?"
264,checklist-charm,CHECKLIST CHARM,"📖 Checklist Manifesto: How to Get Things Right - Atul Gawande 

Checklists are everywhere. From instructions on how to wash your hands to building skyscrapers. 

A good checklist can help you complete tasks more quickly and efficiently, and with fewer mistakes. 

To learn the essentials of a good checklist, read the Checklist Manifesto."
265,seinfeld-strategy,Seinfeld Strategy,"💭 Don't break the chain 

Get a big wall calendar with the whole year on one page. 

Each day you stick to your habit, mark a big X over it. After a few days you'll have a chain. 

You'll like seeing that chain, especially after a few weeks. Your only job is to not break the chain."
266,love-your-grass,Love Your Grass,"💭 What are the things you can be grateful for or proud of?

Sometimes we get into a funk. We feel like the grass is greener on the other side. We think others have it better or easier. 

Next time this happens, imagine you’re a stranger looking at your “grass“. 

What would they like about your grass? You’re probably living someones biggest dream. Focus on yourself. Love your own grass."
267,ta-da-list,TA-DA LIST,"💭 Turn your To-Do List into a Ta-Da List

Write down every task as you complete it. Make it pretty - add stickers and doodles!

Rather than an unfinished to-do list, you’ll end the day with a list of accomplishments. 

We’re better at remembering unfinished tasks than completed ones. A Ta-Da List shifts our focus."
268,donut-danger,DONUT DANGER,"🍩 Focus on the donut, not the hole

Focus on what you have, not on what you’re missing. 

Most of the time what you have is pretty great, if you choose to see it."
269,tombstone-tagline,TOMBSTONE TAGLINE,"☝️ Try this exercise to explore your values 

Reflect on what you want your tombstone to say at the end of your life— for example “was a loving parent”—and write it down. 

Then think about what your tombstone would say if you died in your sleep tonight. 

This exercise can be powerful. It shines a light on what you want your life to be about and on the gap that might exist."
